ITC No	H-M	HM2005	n:c	Univ HM	UHM2005	Hall	Shmueli	Note
140	I4/mcm	I4/mcm	140	I4/mcm	I4/mcm	-I 4 2c	ITC$I1A000$P4C000$P2A006	
141	I41/amd	I41/amd	141:1	I41/amd:1	I41/amd:1	I 4bw 2bw -1bw	ITC$I1A063$P4C063$P2A063	
141	I41/amd	I41/amd	141:2	I41/amd:2	I41/amd:2	-I 4bd 2	ITC$I1A000$P4C393$P2A000	
142	I41/acd	I41/acd	142:1	I41/acd:1	I41/acd:1	I 4bw 2aw -1bw	ITC$I1A063$P4C063$P2A069	
142	I41/acd	I41/acd	142:2	I41/acd:2	I41/acd:2	-I 4bd 2c	ITC$I1A000$P4C393$P2A006	
143	P3	P3	143	P3	P3	P 3	PRN$P3C000	
144	P31	P31	144	P31	P31	P 31	PRN$P3C004	
145	P32	P32	145	P32	P32	P 32	PRN$P3C008	
146	R3	R3	146:H	R3:H	R3:H	R 3	RRN$P3C000	
146	R3	R3	146:R	R3:R	R3:R	P 3*	PRN$P3Q000	
147	P-3	P-3	147	P-3	P-3	-P 3	PRC$I3C000	
148	R-3	R-3	148:H	R-3:H	R-3:H	-R 3	RRC$I3C000	
148	R-3	R-3	148:R	R-3:R	R-3:R	-P 3*	PRC$I3Q000	
149	P312	P312	149	P312	P312	P 3 2	PRN$P3C000$P2G000	
150	P321	P321	150	P321	P321	P 3 2"	PRN$P3C000$P2F000	
151	P3112	P3112	151	P3112	P3112	P 31 2 (0 0 4)	PRN$P3C004$P2G000	
152	P3121	P3121	152	P3121	P3121	P 31 2"	PRN$P3C004$P2F008	
153	P3212	P3212	153	P3212	P3212	P 32 2 (0 0 2)	PRN$P3C008$P2G000	
154	P3221	P3221	154	P3221	P3221	P 32 2"	PRN$P3C008$P2F004	
155	R32	R32	155:H	R32:H	R32:H	R 3 2"	RRN$P3C000$P2F000	
155	R32	R32	155:R	R32:R	R32:R	P 3* 2	PRN$P3Q000$P2E000	
156	P3m1	P3m1	156	P3m1	P3m1	P 3 -2"	PRN$P3C000$I2F000	
157	P31m	P31m	157	P31m	P31m	P 3 -2	PRN$P3C000$I2G000	
158	P3c1	P3c1	158	P3c1	P3c1	P 3 -2"c	PRN$P3C000$I2F006	
159	P31c	P31c	159	P31c	P31c	P 3 -2c	PRN$P3C000$I2G006	
160	R3m	R3m	160:H	R3m:H	R3m:H	R 3 -2"	RRN$P3C000$I2F000	
160	R3m	R3m	160:R	R3m:R	R3m:R	P 3* -2	PRN$P3Q000$I2E000	
161	R3c	R3c	161:H	R3c:H	R3c:H	R 3 -2"c	RRN$P3C000$I2F006	
161	R3c	R3c	161:R	R3c:R	R3c:R	P 3* -2n	PRN$P3Q000$I2E666	
162	P-31m	P-31m	162	P-31m	P-31m	-P 3 2	PRC$I3C000$P2G000	
163	P-31c	P-31c	163	P-31c	P-31c	-P 3 2c	PRC$I3C000$P2G006	
164	P-3m1	P-3m1	164	P-3m1	P-3m1	-P 3 2"	PRC$I3C000$P2F000	
165	P-3c1	P-3c1	165	P-3c1	P-3c1	-P 3 2"c	PRC$I3C000$P2F006	
166	R-3m	R-3m	166:H	R-3m:H	R-3m:H	-R 3 2"	RRC$I3C000$P2F000	
166	R-3m	R-3m	166:R	R-3m:R	R-3m:R	-P 3* 2	PRC$I3Q000$P2E000	
167	R-3c	R-3c	167:H	R-3c:H	R-3c:H	-R 3 2"c	RRC$I3C000$P2F006	
167	R-3c	R-3c	167:R	R-3c:R	R-3c:R	-P 3* 2n	PRC$I3Q000$P2E666	
168	P6	P6	168	P6	P6	P 6	PHN$P6C000	
169	P61	P61	169	P61	P61	P 61	PHN$P6C002	
170	P65	P65	170	P65	P65	P 65	PHN$P6C005	
171	P62	P62	171	P62	P62	P 62	PHN$P6C004	
172	P64	P64	172	P64	P64	P 64	PHN$P6C008	
173	P63	P63	173	P63	P63	P 6c	PHN$P6C006	
174	P-6	P-6	174	P-6	P-6	P -6	PHN$I6C000	
175	P6/m	P6/m	175	P6/m	P6/m	-P 6	PHC$I1A000$P6C000	
176	P63/m	P63/m	176	P63/m	P63/m	-P 6c	PHC$I1A000$P6C006	
177	P622	P622	177	P622	P622	P 6 2	PHN$P6C000$P2F000	
178	P6122	P6122	178	P6122	P6122	P 61 2 (0 0 5)	PHN$P6C002$P2F000	
179	P6522	P6522	179	P6522	P6522	P 65 2 (0 0 1)	PHN$P6C005$P2F000	
180	P6222	P6222	180	P6222	P6222	P 62 2 (0 0 4)	PHN$P6C004$P2F000	
181	P6422	P6422	181	P6422	P6422	P 64 2 (0 0 2)	PHN$P6C008$P2F000	
182	P6322	P6322	182	P6322	P6322	P 6c 2c	PHN$P6C006$P2F000	
183	P6mm	P6mm	183	P6mm	P6mm	P 6 -2	PHN$P6C000$I2F000	
184	P6cc	P6cc	184	P6cc	P6cc	P 6 -2c	PHN$P6C000$I2F006	
185	P63cm	P63cm	185	P63cm	P63cm	P 6c -2	PHN$P6C006$I2F006	
186	P63mc	P63mc	186	P63mc	P63mc	P 6c -2c	PHN$P6C006$I2F000	
187	P-6m2	P-6m2	187	P-6m2	P-6m2	P -6 2	PHN$I6C000$P2G000	
188	P-6c2	P-6c2	188	P-6c2	P-6c2	P -6c 2	PHN$I6C006$P2G000	
189	P-62m	P-62m	189	P-62m	P-62m	P -6 -2	PHN$I6C000$P2F000	
190	P-62c	P-62c	190	P-62c	P-62c	P -6c -2c	PHN$I6C006$P2F000	
191	P6/mmm	P6/mmm	191	P6/mmm	P6/mmm	-P 6 2	PHC$I1A000$P6C000$P2F000	
192	P6/mcc	P6/mcc	192	P6/mcc	P6/mcc	-P 6 2c	PHC$I1A000$P6C000$P2F006	
193	P63/mcm	P63/mcm	193	P63/mcm	P63/mcm	-P 6c 2	PHC$I1A000$P6C006$P2F006	
194	P63/mmc	P63/mmc	194	P63/mmc	P63/mmc	-P 6c 2c	PHC$I1A000$P6C006$P2F000	
195	P23	P23	195	P23	P23	P 2 2 3	PCN$P3Q000$P2C000$P2A000	
196	F23	F23	196	F23	F23	F 2 2 3	FCN$P3Q000$P2C000$P2A000	
197	I23	I23	197	I23	I23	I 2 2 3	ICN$P3Q000$P2C000$P2A000	
198	P213	P213	198	P213	P213	P 2ac 2ab 3	PCN$P3Q000$P2C606$P2A660	
199	I213	I213	199	I213	I213	I 2b 2c 3	ICN$P3Q000$P2C606$P2A660	
200	Pm-3	Pm-3	200	Pm-3	Pm-3	-P 2 2 3	PCC$I3Q000$P2C000$P2A000	
201	Pn-3	Pn-3	201:1	Pn-3:1	Pn-3:1	P 2 2 3 -1n	PCC$I3Q666$P2C000$P2A000	
201	Pn-3	Pn-3	201:2	Pn-3:2	Pn-3:2	-P 2ab 2bc 3	PCC$I3Q000$P2C660$P2A066	
202	Fm-3	Fm-3	202	Fm-3	Fm-3	-F 2 2 3	FCC$I3Q000$P2C000$P2A000	
203	Fd-3	Fd-3	203:1	Fd-3:1	Fd-3:1	F 2 2 3 -1d	FCC$I3Q333$P2C000$P2A000	
203	Fd-3	Fd-3	203:2	Fd-3:2	Fd-3:2	-F 2uv 2vw 3	FCC$I3Q000$P2C330$P2A033	
204	Im-3	Im-3	204	Im-3	Im-3	-I 2 2 3	ICC$I3Q000$P2C000$P2A000	
205	Pa-3	Pa-3	205	Pa-3	Pa-3	-P 2ac 2ab 3	PCC$I3Q000$P2C606$P2A660	
206	Ia-3	Ia-3	206	Ia-3	Ia-3	-I 2b 2c 3	ICC$I3Q000$P2C606$P2A660	
207	P432	P432	207	P432	P432	P 4 2 3	PCN$P3Q000$P4C000$P2D000	
208	P4232	P4232	208	P4232	P4232	P 4n 2 3	PCN$P3Q000$P4C666$P2D666	
209	F432	F432	209	F432	F432	F 4 2 3	FCN$P3Q000$P4C000$P2D000	
210	F4132	F4132	210	F4132	F4132	F 4d 2 3	FCN$P3Q000$P4C993$P2D939	
211	I432	I432	211	I432	I432	I 4 2 3	ICN$P3Q000$P4C000$P2D000	
212	P4332	P4332	212	P4332	P4332	P 4acd 2ab 3	PCN$P3Q000$P4C939$P2D399	
213	P4132	P4132	213	P4132	P4132	P 4bd 2ab 3	PCN$P3Q000$P4C393$P2D933	
214	I4132	I4132	214	I4132	I4132	I 4bd 2c 3	ICN$P3Q000$P4C393$P2D933	
215	P-43m	P-43m	215	P-43m	P-43m	P -4 2 3	PCN$P3Q000$I4C000$I2D000	
216	F-43m	F-43m	216	F-43m	F-43m	F -4 2 3	FCN$P3Q000$I4C000$I2D000	
217	I-43m	I-43m	217	I-43m	I-43m	I -4 2 3	ICN$P3Q000$I4C000$I2D000	
218	P-43n	P-43n	218	P-43n	P-43n	P -4n 2 3	PCN$P3Q000$I4C666$I2D666	
219	F-43c	F-43c	219	F-43c	F-43c	F -4a 2 3	FCN$P3Q000$I4C666$I2D666	
220	I-43d	I-43d	220	I-43d	I-43d	I -4bd 2c 3	ICN$P3Q000$I4C939$I2D399	
221	Pm-3m	Pm-3m	221	Pm-3m	Pm-3m	-P 4 2 3	PCC$I3Q000$P4C000$P2D000	
222	Pn-3n	Pn-3n	222:1	Pn-3n:1	Pn-3n:1	P 4 2 3 -1n	PCC$I3Q666$P4C000$P2D000	
222	Pn-3n	Pn-3n	222:2	Pn-3n:2	Pn-3n:2	-P 4a 2bc 3	PCC$I3Q000$P4C600$P2D006	
223	Pm-3n	Pm-3n	223	Pm-3n	Pm-3n	-P 4n 2 3	PCC$I3Q000$P4C666$P2D666	
224	Pn-3m	Pn-3m	224:1	Pn-3m:1	Pn-3m:1	P 4n 2 3 -1n	PCC$I3Q666$P4C666$P2D666	
224	Pn-3m	Pn-3m	224:2	Pn-3m:2	Pn-3m:2	-P 4bc 2bc 3	PCC$I3Q000$P4C066$P2D660	
225	Fm-3m	Fm-3m	225	Fm-3m	Fm-3m	-F 4 2 3	FCC$I3Q000$P4C000$P2D000	
226	Fm-3c	Fm-3c	226	Fm-3c	Fm-3c	-F 4a 2 3	FCC$I3Q000$P4C666$P2D666	
227	Fd-3m	Fd-3m	227:1	Fd-3m:1	Fd-3m:1	F 4d 2 3 -1d	FCC$I3Q333$P4C993$P2D939	
227	Fd-3m	Fd-3m	227:2	Fd-3m:2	Fd-3m:2	-F 4vw 2vw 3	FCC$I3Q000$P4C693$P2D936	
228	Fd-3c	Fd-3c	228:1	Fd-3c:1	Fd-3c:1	F 4d 2 3 -1ad	FCC$I3Q999$P4C993$P2D939	
228	Fd-3c	Fd-3c	228:2	Fd-3c:2	Fd-3c:2	-F 4ud 2vw 3	FCC$I3Q000$P4C093$P2D930	
229	Im-3m	Im-3m	229	Im-3m	Im-3m	-I 4 2 3	ICC$I3Q000$P4C000$P2D000	
230	Ia-3d	Ia-3d	230	Ia-3d	Ia-3d	-I 4bd 2c 3	ICC$I3Q000$P4C393$P2D933	
